user,retain
0,1
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,0
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,1
215,1
216,0
217,1
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,0
258,0
259,0
260,0
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,0
339,1
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,1
420,0
421,1
422,0
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,1
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,1
486,1
487,1
488,1
489,0
490,0
491,1
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,1
511,0
512,1
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,1
521,1
522,0
523,0
524,1
525,0
526,1
527,1
528,1
529,1
530,0
531,1
532,0
533,1
534,1
535,0
536,0
537,0
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,1
555,0
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,1
565,1
566,1
567,0
568,1
569,0
570,0
571,0
572,1
573,0
574,0
575,1
576,0
577,1
578,0
579,1
580,0
581,0
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,1
593,0
594,1
595,0
596,0
597,0
598,0
599,1
600,0
601,1
602,1
603,0
604,1
605,0
606,0
607,0
608,1
609,0
610,0
611,0
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,0
620,1
621,0
622,0
623,1
624,1
625,0
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,1
635,1
636,0
637,1
638,0
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,0
656,1
657,0
658,1
659,1
660,0
661,1
662,1
663,0
664,0
665,1
666,0
667,1
668,0
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,1
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,0
698,1
699,1
700,1
701,0
702,0
703,1
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,1
714,1
715,0
716,0
717,0
718,1
719,1
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,0
739,0
740,0
741,1
742,0
743,1
744,0
745,0
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,1
763,0
764,0
765,0
766,0
767,1
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,0
777,1
778,1
779,0
780,1
781,0
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,1
798,0
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,0
812,0
